fecha,valor
2026-04-20,1372.7745
2026-04-21,1379.0516
2026-04-22,1378.1258
2026-04-23,1387.6961
2026-04-24,1397.2063
2026-04-27,1412.9865
2026-04-28,1408.1491
2026-04-29,1395.2866
2026-04-30,1381.0954
2026-05-04,1398.3143
2026-05-05,1395.1909
2026-05-06,1386.2923
2026-05-07,1390.637
2026-05-08,1394.1232
2026-05-11,1399.4749
2026-05-12,1386.5259
2026-05-13,1389.2073
2026-05-14,1393.2322
2026-05-15,1395.3478
2026-05-18,1394.974
2026-05-19,1398.916
2026-05-20,1398.8346
2026-05-21,1392.1705
2026-05-22,1393.5019
