symbol;ticker_pesos;moneda;securityType;sufijo;clase_liquidacion;segmento;cotiza;panel;codigoIsin;tipoEspecie;insType;emisor
VIVD;VIV;MEP;CD;D;primary;;True;CEDEARs;ARBCOM4601W2;Cedears;;BANCO COMAFI S.A.
VIVT3;VIVT3;ARS;CD;3;primary;;True;CEDEARs;ARCAVA4601X2;Cedears;;Caja de Valores S.A.
VOD;VOD;ARS;CD;D;primary;;True;CEDEARs;ARDEUT110590;Cedears;;BANCO COMAFI S.A.
VODC;VOD;cable;CD;C;primary;;True;CEDEARs;ARDEUT110590;Cedears;;BANCO COMAFI S.A.
VODD;VOD;MEP;CD;D;primary;;True;CEDEARs;ARDEUT110590;Cedears;;BANCO COMAFI S.A.
VRSN;VRSN;ARS;CD;N;primary;;True;CEDEARs;ARBCOM4600U8;Cedears;;BANCO COMAFI S.A.
VRSNB;VRSN;ARS;CD;B;otro;;False;CEDEARs;ARBCOM4600U8;Cedears;;BANCO COMAFI S.A.
VRSNC;VRSN;cable;CD;C;primary;;True;CEDEARs;ARBCOM4600U8;Cedears;;BANCO COMAFI S.A.
VRSND;VRSN;MEP;CD;D;primary;;True;CEDEARs;ARBCOM4600U8;Cedears;;BANCO COMAFI S.A.
VRTX;VRT;ARS;CD;X;especial;;False;CEDEARs;AR0468655268;Cedears;;BANCO COMAFI S.A.
VRTXC;VRTX;cable;CD;C;primary;;True;CEDEARs;AR0468655268;Cedears;;BANCO COMAFI S.A.
VRTXD;VRTX;MEP;CD;D;primary;;True;CEDEARs;AR0468655268;Cedears;;BANCO COMAFI S.A.
VST;VST;ARS;CD;T;primary;;True;CEDEARs;AR0659507682;Cedears;;BANCO COMAFI S.A.
VSTC;VST;cable;CD;C;primary;;True;CEDEARs;AR0659507682;Cedears;;BANCO COMAFI S.A.
VSTD;VST;MEP;CD;D;primary;;True;CEDEARs;AR0659507682;Cedears;;BANCO COMAFI S.A.
VXX;VX;ARS;CD;X;especial;;False;CEDEARs;AR0691521022;Cedears;;Caja de Valores S.A.
VXXC;VXX;cable;CD;C;primary;;True;CEDEARs;AR0691521022;Cedears;;Caja de Valores S.A.
VXXD;VXX;MEP;CD;D;primary;;True;CEDEARs;AR0691521022;Cedears;;Caja de Valores S.A.
VZ;VZ;ARS;CD;Z;primary;;True;CEDEARs;ARDEUT112927;Cedears;;BANCO COMAFI S.A.
VZB;VZ;ARS;CD;B;otro;;False;CEDEARs;ARDEUT112927;Cedears;;BANCO COMAFI S.A.
VZC;VZ;cable;CD;C;primary;;True;CEDEARs;ARDEUT112927;Cedears;;BANCO COMAFI S.A.
VZD;VZ;MEP;CD;D;primary;;True;CEDEARs;ARDEUT112927;Cedears;;BANCO COMAFI S.A.
WBO;WBO;ARS;CD;O;primary;;True;CEDEARs;ARBCOM460259;Cedears;;BANCO COMAFI S.A.
WBOD;WBO;MEP;CD;D;primary;;True;CEDEARs;ARBCOM460259;Cedears;;BANCO COMAFI S.A.
WEGE3;WEGE3;ARS;CD;3;primary;;True;CEDEARs;ARCAVA460289;Cedears;;Caja de Valores S.A.
WFC.B;WFC;ARS;CD;C;otro;B;False;CEDEARs;ARDEUT110434;Cedears;;BANCO COMAFI S.A.
WFC;WFC;ARS;CD;C;primary;;True;CEDEARs;ARDEUT110434;Cedears;;BANCO COMAFI S.A.
WFCC;WFC;cable;CD;C;primary;;True;CEDEARs;ARDEUT110434;Cedears;;BANCO COMAFI S.A.
WFCD;WFC;MEP;CD;D;primary;;True;CEDEARs;ARDEUT110434;Cedears;;BANCO COMAFI S.A.
WMT.B;WMT;ARS;CD;T;otro;B;False;CEDEARs;ARDEUT110400;Cedears;;BANCO COMAFI S.A.
WMT;WMT;ARS;CD;T;primary;;True;CEDEARs;ARDEUT110400;Cedears;;BANCO COMAFI S.A.
WMTC;WMT;cable;CD;C;primary;;True;CEDEARs;ARDEUT110400;Cedears;;BANCO COMAFI S.A.
WMTD;WMT;MEP;CD;D;primary;;True;CEDEARs;ARDEUT110400;Cedears;;BANCO COMAFI S.A.
XLB;XLB;ARS;CD;B;primary;;True;CEDEARs;AR0441163851;Cedears;;BANCO COMAFI S.A.
XLBB;XLB;ARS;CD;B;otro;;False;CEDEARs;AR0441163851;Cedears;;BANCO COMAFI S.A.
XLBC;XLB;cable;CD;C;primary;;True;CEDEARs;AR0441163851;Cedears;;BANCO COMAFI S.A.
XLBD;XLB;MEP;CD;D;primary;;True;CEDEARs;AR0441163851;Cedears;;BANCO COMAFI S.A.
XLC;XLC;ARS;CD;C;primary;;True;CEDEARs;AR0515201439;Cedears;;BANCO COMAFI S.A.
XLCC;XLC;cable;CD;C;primary;;True;CEDEARs;AR0515201439;Cedears;;BANCO COMAFI S.A.
XLCD;XLC;MEP;CD;D;primary;;True;CEDEARs;AR0515201439;Cedears;;BANCO COMAFI S.A.
XLE;XLE;ARS;CD;E;primary;;True;CEDEARs;ARCAVA4600Z9;Cedears;;Caja de Valores S.A.
XLEB;XLE;ARS;CD;B;otro;;False;CEDEARs;ARCAVA4600Z9;Cedears;;Caja de Valores S.A.
XLEC;XLE;cable;CD;C;primary;;True;CEDEARs;ARCAVA4600Z9;Cedears;;Caja de Valores S.A.
XLED;XLE;MEP;CD;D;primary;;True;CEDEARs;ARCAVA4600Z9;Cedears;;Caja de Valores S.A.
XLEDB;XLEDB;MEP;CD;B;otro;;False;CEDEARs;ARCAVA4600Z9;Cedears;;Caja de Valores S.A.
XLF;XLF;ARS;CD;F;primary;;True;CEDEARs;ARCAVA4600Y2;Cedears;;Caja de Valores S.A.
XLFB;XLF;ARS;CD;B;otro;;False;CEDEARs;ARCAVA4600Y2;Cedears;;Caja de Valores S.A.
XLFC;XLF;cable;CD;C;primary;;True;CEDEARs;ARCAVA4600Y2;Cedears;;Caja de Valores S.A.
XLFD;XLF;MEP;CD;D;primary;;True;CEDEARs;ARCAVA4600Y2;Cedears;;Caja de Valores S.A.
XLI;XLI;ARS;CD;I;primary;;True;CEDEARs;AR0595844538;Cedears;;BANCO COMAFI S.A.
XLIC;XLI;cable;CD;C;primary;;True;CEDEARs;AR0595844538;Cedears;;BANCO COMAFI S.A.
XLID;XLI;MEP;CD;D;primary;;True;CEDEARs;AR0595844538;Cedears;;BANCO COMAFI S.A.
XLK;XLK;ARS;CD;K;primary;;True;CEDEARs;AR0824137712;Cedears;;BANCO COMAFI S.A.
XLKC;XLK;cable;CD;C;primary;;True;CEDEARs;AR0824137712;Cedears;;BANCO COMAFI S.A.
XLKD;XLK;MEP;CD;D;primary;;True;CEDEARs;AR0824137712;Cedears;;BANCO COMAFI S.A.
XLP;XLP;ARS;CD;P;primary;;True;CEDEARs;AR0887077425;Cedears;;BANCO COMAFI S.A.
XLPC;XLP;cable;CD;C;primary;;True;CEDEARs;AR0887077425;Cedears;;BANCO COMAFI S.A.
XLPD;XLP;MEP;CD;D;primary;;True;CEDEARs;AR0887077425;Cedears;;BANCO COMAFI S.A.
XLRE;XLRE;ARS;CD;E;primary;;True;CEDEARs;AR0068390027;Cedears;;BANCO COMAFI S.A.
XLREC;XLRE;cable;CD;C;primary;;True;CEDEARs;AR0068390027;Cedears;;BANCO COMAFI S.A.
XLRED;XLRE;MEP;CD;D;primary;;True;CEDEARs;AR0068390027;Cedears;;BANCO COMAFI S.A.
XLU;XLU;ARS;CD;U;primary;;True;CEDEARs;AR0449817581;Cedears;;Caja de Valores S.A.
XLUC;XLU;cable;CD;C;primary;;True;CEDEARs;AR0449817581;Cedears;;Caja de Valores S.A.
XLUD;XLU;MEP;CD;D;primary;;True;CEDEARs;AR0449817581;Cedears;;Caja de Valores S.A.
XLV;XLV;ARS;CD;V;primary;;True;CEDEARs;AR0216856044;Cedears;;BANCO COMAFI S.A.
XLVC;XLV;cable;CD;C;primary;;True;CEDEARs;AR0216856044;Cedears;;BANCO COMAFI S.A.
XLVD;XLV;MEP;CD;D;primary;;True;CEDEARs;AR0216856044;Cedears;;BANCO COMAFI S.A.
XLY;XLY;ARS;CD;Y;primary;;True;CEDEARs;AR0427103855;Cedears;;BANCO COMAFI S.A.
XLYC;XLY;cable;CD;C;primary;;True;CEDEARs;AR0427103855;Cedears;;BANCO COMAFI S.A.
XLYD;XLY;MEP;CD;D;primary;;True;CEDEARs;AR0427103855;Cedears;;BANCO COMAFI S.A.
XME;XME;ARS;CD;E;primary;;True;CEDEARs;AR0235356091;Cedears;;Caja de Valores S.A.
XMEC;XME;cable;CD;C;primary;;True;CEDEARs;AR0235356091;Cedears;;Caja de Valores S.A.
XMED;XME;MEP;CD;D;primary;;True;CEDEARs;AR0235356091;Cedears;;Caja de Valores S.A.
XOM;XOM;ARS;CD;M;primary;;True;CEDEARs;ARDEUT110152;Cedears;;BANCO COMAFI S.A.
XOMB;XOM;ARS;CD;B;otro;;False;CEDEARs;ARDEUT110152;Cedears;;BANCO COMAFI S.A.
XOMC;XOM;cable;CD;C;primary;;True;CEDEARs;ARDEUT110152;Cedears;;BANCO COMAFI S.A.
XOMD;XOM;MEP;CD;D;primary;;True;CEDEARs;ARDEUT110152;Cedears;;BANCO COMAFI S.A.
XOMDB;XOMDB;MEP;CD;B;otro;;False;CEDEARs;ARDEUT110152;Cedears;;BANCO COMAFI S.A.
XP;XP;ARS;CD;P;primary;;True;CEDEARs;ARBCOM4603Z1;Cedears;;BANCO COMAFI S.A.
XPC;XP;cable;CD;C;primary;;True;CEDEARs;ARBCOM4603Z1;Cedears;;BANCO COMAFI S.A.
XPD;XP;MEP;CD;D;primary;;True;CEDEARs;ARBCOM4603Z1;Cedears;;BANCO COMAFI S.A.
XPEV;XPEV;ARS;CD;V;primary;;True;CEDEARs;AR0453271709;Cedears;;BANCO COMAFI S.A.
XPEVC;XPEV;cable;CD;C;primary;;True;CEDEARs;AR0453271709;Cedears;;BANCO COMAFI S.A.
XPEVD;XPEV;MEP;CD;D;primary;;True;CEDEARs;AR0453271709;Cedears;;BANCO COMAFI S.A.
XROX;XRO;ARS;CD;X;especial;;False;CEDEARs;ARBCOM4600W4;Cedears;;BANCO COMAFI S.A.
XROXC;XROX;cable;CD;C;primary;;True;CEDEARs;ARBCOM4600W4;Cedears;;BANCO COMAFI S.A.
XROXD;XROX;MEP;CD;D;primary;;True;CEDEARs;ARBCOM4600W4;Cedears;;BANCO COMAFI S.A.
XYZ;XYZ;ARS;CD;Z;primary;;True;CEDEARs;ARBCOM460374;Cedears;;BANCO COMAFI S.A.
XYZC;XYZ;cable;CD;C;primary;;True;CEDEARs;ARBCOM460374;Cedears;;BANCO COMAFI S.A.
XYZD;XYZ;MEP;CD;D;primary;;True;CEDEARs;ARBCOM460374;Cedears;;BANCO COMAFI S.A.
YELP;YELP;ARS;CD;P;primary;;True;CEDEARs;ARBCOM4600Y0;Cedears;;BANCO COMAFI S.A.
YELPD;YELP;MEP;CD;D;primary;;True;CEDEARs;ARBCOM4600Y0;Cedears;;BANCO COMAFI S.A.
YZCA;YZCA;ARS;CD;A;primary;;True;CEDEARs;ARDEUT114758;Cedears;;BANCO COMAFI S.A.
YZCAC;YZCA;cable;CD;C;primary;;True;CEDEARs;ARDEUT114758;Cedears;;BANCO COMAFI S.A.
YZCAD;YZCA;MEP;CD;D;primary;;True;CEDEARs;ARDEUT114758;Cedears;;BANCO COMAFI S.A.
ZM;ZM;ARS;CD;M;primary;;True;CEDEARs;ARBCOM4603B2;Cedears;;BANCO COMAFI S.A.
ZMC;ZM;cable;CD;C;primary;;True;CEDEARs;ARBCOM4603B2;Cedears;;BANCO COMAFI S.A.
ZMD;ZM;MEP;CD;D;primary;;True;CEDEARs;ARBCOM4603B2;Cedears;;BANCO COMAFI S.A.
AE38;AE38;ARS;GO;8;primary;;True;Titulos Publicos;ARARGE3209U2;Títulos Públicos;BOND;Gobierno Nacional
AE38C;AE38;cable;GO;C;primary;;True;Titulos Publicos;ARARGE3209U2;Títulos Públicos;BOND;Gobierno Nacional
AE38D;AE38;MEP;GO;D;primary;;True;Titulos Publicos;ARARGE3209U2;Títulos Públicos;BOND;Gobierno Nacional
AE38X;AE38;ARS;GO;X;especial;;False;Titulos Publicos;ARARGE3209U2;Títulos Públicos;BOND;Gobierno Nacional
AE38Y;AE38;MEP;GO;Y;especial;;False;Titulos Publicos;ARARGE3209U2;Títulos Públicos;BOND;Gobierno Nacional
AE38Z;AE38;cable;GO;Z;especial;;False;Titulos Publicos;ARARGE3209U2;Títulos Públicos;BOND;Gobierno Nacional
AL03A;AL03A;ARS;GO;A;primary;;True;Titulos Publicos;;;;
AL29;AL29;ARS;GO;9;primary;;True;Titulos Publicos;ARARGE3209Y4;Títulos Públicos;BOND;Gobierno Nacional
AL29C;AL29;cable;GO;C;primary;;True;Titulos Publicos;ARARGE3209Y4;Títulos Públicos;BOND;Gobierno Nacional
AL29D;AL29;MEP;GO;D;primary;;True;Titulos Publicos;ARARGE3209Y4;Títulos Públicos;BOND;Gobierno Nacional
AL29X;AL29;ARS;GO;X;especial;;False;Titulos Publicos;ARARGE3209Y4;Títulos Públicos;BOND;Gobierno Nacional
AL29Y;AL29;MEP;GO;Y;especial;;False;Titulos Publicos;ARARGE3209Y4;Títulos Públicos;BOND;Gobierno Nacional
AL29Z;AL29;cable;GO;Z;especial;;False;Titulos Publicos;ARARGE3209Y4;Títulos Públicos;BOND;Gobierno Nacional
AL30;AL30;ARS;GO;0;primary;;True;Titulos Publicos;ARARGE3209S6;Títulos Públicos;BOND;Gobierno Nacional
AL30C;AL30;cable;GO;C;primary;;True;Titulos Publicos;ARARGE3209S6;Títulos Públicos;BOND;Gobierno Nacional
AL30D;AL30;MEP;GO;D;primary;;True;Titulos Publicos;ARARGE3209S6;Títulos Públicos;BOND;Gobierno Nacional
AL30X;AL30;ARS;GO;X;especial;;False;Titulos Publicos;ARARGE3209S6;Títulos Públicos;BOND;Gobierno Nacional
AL30Y;AL30;MEP;GO;Y;especial;;False;Titulos Publicos;ARARGE3209S6;Títulos Públicos;BOND;Gobierno Nacional
AL30Z;AL30;cable;GO;Z;especial;;False;Titulos Publicos;ARARGE3209S6;Títulos Públicos;BOND;Gobierno Nacional
AL35;AL35;ARS;GO;5;primary;;True;Titulos Publicos;ARARGE3209T4;Títulos Públicos;BOND;Gobierno Nacional
AL35C;AL35;cable;GO;C;primary;;True;Titulos Publicos;ARARGE3209T4;Títulos Públicos;BOND;Gobierno Nacional
AL35D;AL35;MEP;GO;D;primary;;True;Titulos Publicos;ARARGE3209T4;Títulos Públicos;BOND;Gobierno Nacional
AL35X;AL35;ARS;GO;X;especial;;False;Titulos Publicos;ARARGE3209T4;Títulos Públicos;BOND;Gobierno Nacional
AL35Y;AL35;MEP;GO;Y;especial;;False;Titulos Publicos;ARARGE3209T4;Títulos Públicos;BOND;Gobierno Nacional
AL35Z;AL35;cable;GO;Z;especial;;False;Titulos Publicos;ARARGE3209T4;Títulos Públicos;BOND;Gobierno Nacional
AL41;AL41;ARS;GO;1;primary;;True;Titulos Publicos;ARARGE3209V0;Títulos Públicos;BOND;Gobierno Nacional
AL41C;AL41;cable;GO;C;primary;;True;Titulos Publicos;ARARGE3209V0;Títulos Públicos;BOND;Gobierno Nacional
AL41D;AL41;MEP;GO;D;primary;;True;Titulos Publicos;ARARGE3209V0;Títulos Públicos;BOND;Gobierno Nacional
AL41X;AL41;ARS;GO;X;especial;;False;Titulos Publicos;ARARGE3209V0;Títulos Públicos;BOND;Gobierno Nacional
AL41Y;AL41;MEP;GO;Y;especial;;False;Titulos Publicos;ARARGE3209V0;Títulos Públicos;BOND;Gobierno Nacional
AL41Z;AL41;cable;GO;Z;especial;;False;Titulos Publicos;ARARGE3209V0;Títulos Públicos;BOND;Gobierno Nacional
AN29;AN29;ARS;GO;9;primary;;True;Titulos Publicos;AR0963787574;Títulos Públicos;BOND;Gobierno Nacional
AN29C;AN29;cable;GO;C;primary;;True;Titulos Publicos;AR0963787574;Títulos Públicos;BOND;Gobierno Nacional
AN29D;AN29;MEP;GO;D;primary;;True;Titulos Publicos;AR0963787574;Títulos Públicos;BOND;Gobierno Nacional
AN29X;AN29;ARS;GO;X;especial;;False;Titulos Publicos;AR0963787574;Títulos Públicos;BOND;Gobierno Nacional
AN29Y;AN29;MEP;GO;Y;especial;;False;Titulos Publicos;AR0963787574;Títulos Públicos;BOND;Gobierno Nacional
AN29Z;AN29;cable;GO;Z;especial;;False;Titulos Publicos;AR0963787574;Títulos Públicos;BOND;Gobierno Nacional
AO27;AO27;ARS;GO;7;primary;;True;Titulos Publicos;AR0676997536;Títulos Públicos;BOND;Gobierno Nacional
AO27C;AO27;cable;GO;C;primary;;True;Titulos Publicos;AR0676997536;Títulos Públicos;BOND;Gobierno Nacional
AO27D;AO27;MEP;GO;D;primary;;True;Titulos Publicos;AR0676997536;Títulos Públicos;BOND;Gobierno Nacional
AO27X;AO27;ARS;GO;X;especial;;False;Titulos Publicos;AR0676997536;Títulos Públicos;BOND;Gobierno Nacional
AO27Y;AO27;MEP;GO;Y;especial;;False;Titulos Publicos;AR0676997536;Títulos Públicos;BOND;Gobierno Nacional
AO27Z;AO27;cable;GO;Z;especial;;False;Titulos Publicos;AR0676997536;Títulos Públicos;BOND;Gobierno Nacional
AO28;AO28;ARS;GO;8;primary;;True;Titulos Publicos;AR0474258297;Títulos Públicos;BOND;Gobierno Nacional
AO28C;AO28;cable;GO;C;primary;;True;Titulos Publicos;AR0474258297;Títulos Públicos;BOND;Gobierno Nacional
AO28D;AO28;MEP;GO;D;primary;;True;Titulos Publicos;AR0474258297;Títulos Públicos;BOND;Gobierno Nacional
AO28X;AO28;ARS;GO;X;especial;;False;Titulos Publicos;AR0474258297;Títulos Públicos;BOND;Gobierno Nacional
AO28Y;AO28;MEP;GO;Y;especial;;False;Titulos Publicos;AR0474258297;Títulos Públicos;BOND;Gobierno Nacional
AO28Z;AO28;cable;GO;Z;especial;;False;Titulos Publicos;AR0474258297;Títulos Públicos;BOND;Gobierno Nacional
BA37D;BA37D;ARS;GO;D;primary;;True;Titulos Publicos;XS2385150334;Títulos Públicos;BOND;Provincia de Buenos Aires
BA37E;BA37E;ARS;GO;E;primary;;True;Titulos Publicos;;;;
BA7DC;BA7D;cable;GO;C;primary;;True;Titulos Publicos;XS2385150334;Títulos Públicos;BOND;Provincia de Buenos Aires
BA7DD;BA7D;MEP;GO;D;primary;;True;Titulos Publicos;XS2385150334;Títulos Públicos;BOND;Provincia de Buenos Aires
BA7DX;BA7D;ARS;GO;X;especial;;False;Titulos Publicos;XS2385150334;Títulos Públicos;BOND;Provincia de Buenos Aires
BA7DY;BA7D;MEP;GO;Y;especial;;False;Titulos Publicos;XS2385150334;Títulos Públicos;BOND;Provincia de Buenos Aires
BA7DZ;BA7D;cable;GO;Z;especial;;False;Titulos Publicos;XS2385150334;Títulos Públicos;BOND;Provincia de Buenos Aires
BAF27;BAF27;ARS;GO;7;primary;;True;Titulos Publicos;AR0562543014;Títulos Públicos;BOND;Municipalidad de la Ciudad de Córdoba
BAS26;BAS26;ARS;GO;6;primary;;True;Titulos Publicos;AR0180354703;Títulos Públicos;BOND;Municipalidad de la Ciudad de Córdoba
BAS6D;BAS6;MEP;GO;D;primary;;True;Titulos Publicos;AR0180354703;Títulos Públicos;BOND;Municipalidad de la Ciudad de Córdoba
BB37D;BB37D;ARS;GO;D;primary;;True;Titulos Publicos;XS2385151738;Títulos Públicos;BOND;Provincia de Buenos Aires
BB7DC;BB7D;cable;GO;C;primary;;True;Titulos Publicos;XS2385151738;Títulos Públicos;BOND;Provincia de Buenos Aires
BB7DD;BB7D;MEP;GO;D;primary;;True;Titulos Publicos;XS2385151738;Títulos Públicos;BOND;Provincia de Buenos Aires
BB7DX;BB7D;ARS;GO;X;especial;;False;Titulos Publicos;XS2385151738;Títulos Públicos;BOND;Provincia de Buenos Aires
BB7DY;BB7D;MEP;GO;Y;especial;;False;Titulos Publicos;XS2385151738;Títulos Públicos;BOND;Provincia de Buenos Aires
BB7DZ;BB7D;cable;GO;Z;especial;;False;Titulos Publicos;XS2385151738;Títulos Públicos;BOND;Provincia de Buenos Aires
BC28C;BC28;cable;GO;C;primary;;True;Titulos Publicos;ARCBAS3201J5;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC28D;BC28;MEP;GO;D;primary;;True;Titulos Publicos;ARCBAS3201J5;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC28X;BC28;ARS;GO;X;especial;;False;Titulos Publicos;ARCBAS3201J5;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC28Y;BC28;MEP;GO;Y;especial;;False;Titulos Publicos;ARCBAS3201J5;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC28Z;BC28;cable;GO;Z;especial;;False;Titulos Publicos;ARCBAS3201J5;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC33C;BC33;cable;GO;C;primary;;True;Titulos Publicos;XS3237223311;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC33D;BC33;MEP;GO;D;primary;;True;Titulos Publicos;XS3237223311;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC36C;BC36;cable;GO;C;primary;;True;Titulos Publicos;USP1911JAE75;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC36D;BC36;MEP;GO;D;primary;;True;Titulos Publicos;USP1911JAE75;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC36Z;BC36;cable;GO;Z;especial;;False;Titulos Publicos;USP1911JAE75;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BC37D;BC37D;ARS;GO;D;primary;;True;Titulos Publicos;XS2385150847;Títulos Públicos;BOND;Provincia de Buenos Aires
BC7DC;BC7D;cable;GO;C;primary;;True;Titulos Publicos;XS2385150847;Títulos Públicos;BOND;Provincia de Buenos Aires
BC7DD;BC7D;MEP;GO;D;primary;;True;Titulos Publicos;XS2385150847;Títulos Públicos;BOND;Provincia de Buenos Aires
BCIUO;BCIUO;ARS;GO;O;primary;;True;Titulos Publicos;;;;
BDC28;BDC28;ARS;GO;8;primary;;True;Titulos Publicos;ARCBAS3201J5;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BDC33;BDC33;ARS;GO;3;primary;;True;Titulos Publicos;XS3237223311;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BDC36;BDC36;ARS;GO;6;primary;;True;Titulos Publicos;USP1911JAE75;Títulos Públicos;BOND;Ciudad Autónoma de Buenos Aires
BPA7C;BPA7;cable;GO;C;primary;;True;Titulos Publicos;AR0684877571;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA7D;BPA7;MEP;GO;D;primary;;True;Titulos Publicos;AR0684877571;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA7X;BPA7;ARS;GO;X;especial;;False;Titulos Publicos;AR0684877571;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA7Y;BPA7;MEP;GO;Y;especial;;False;Titulos Publicos;AR0684877571;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA7Z;BPA7;cable;GO;Z;especial;;False;Titulos Publicos;AR0684877571;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA8C;BPA8;cable;GO;C;primary;;True;Titulos Publicos;AR0029227748;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA8D;BPA8;MEP;GO;D;primary;;True;Titulos Publicos;AR0029227748;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA8X;BPA8;ARS;GO;X;especial;;False;Titulos Publicos;AR0029227748;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA8Y;BPA8;MEP;GO;Y;especial;;False;Titulos Publicos;AR0029227748;Títulos Públicos;BOND;Banco Central de la República Argentina
BPA8Z;BPA8;cable;GO;Z;especial;;False;Titulos Publicos;AR0029227748;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB7C;BPB7;cable;GO;C;primary;;True;Titulos Publicos;AR0772251226;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB7D;BPB7;MEP;GO;D;primary;;True;Titulos Publicos;AR0772251226;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB7X;BPB7;ARS;GO;X;especial;;False;Titulos Publicos;AR0772251226;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB7Y;BPB7;MEP;GO;Y;especial;;False;Titulos Publicos;AR0772251226;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB7Z;BPB7;cable;GO;Z;especial;;False;Titulos Publicos;AR0772251226;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB8C;BPB8;cable;GO;C;primary;;True;Titulos Publicos;AR0868821510;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB8D;BPB8;MEP;GO;D;primary;;True;Titulos Publicos;AR0868821510;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB8X;BPB8;ARS;GO;X;especial;;False;Titulos Publicos;AR0868821510;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB8Y;BPB8;MEP;GO;Y;especial;;False;Titulos Publicos;AR0868821510;Títulos Públicos;BOND;Banco Central de la República Argentina
BPB8Z;BPB8;cable;GO;Z;especial;;False;Titulos Publicos;AR0868821510;Títulos Públicos;BOND;Banco Central de la República Argentina
BPC7C;BPC7;cable;GO;C;primary;;True;Titulos Publicos;AR0763285209;Títulos Públicos;BOND;Banco Central de la República Argentina
BPC7D;BPC7;MEP;GO;D;primary;;True;Titulos Publicos;AR0763285209;Títulos Públicos;BOND;Banco Central de la República Argentina
BPC7X;BPC7;ARS;GO;X;especial;;False;Titulos Publicos;AR0763285209;Títulos Públicos;BOND;Banco Central de la República Argentina
BPC7Y;BPC7;MEP;GO;Y;especial;;False;Titulos Publicos;AR0763285209;Títulos Públicos;BOND;Banco Central de la República Argentina
BPC7Z;BPC7;cable;GO;Z;especial;;False;Titulos Publicos;AR0763285209;Títulos Públicos;BOND;Banco Central de la República Argentina
BPD7C;BPD7;cable;GO;C;primary;;True;Titulos Publicos;AR0314171247;Títulos Públicos;BOND;Banco Central de la República Argentina
BPD7D;BPD7;MEP;GO;D;primary;;True;Titulos Publicos;AR0314171247;Títulos Públicos;BOND;Banco Central de la República Argentina
BPD7X;BPD7;ARS;GO;X;especial;;False;Titulos Publicos;AR0314171247;Títulos Públicos;BOND;Banco Central de la República Argentina
BPD7Y;BPD7;MEP;GO;Y;especial;;False;Titulos Publicos;AR0314171247;Títulos Públicos;BOND;Banco Central de la República Argentina
BPD7Z;BPD7;cable;GO;Z;especial;;False;Titulos Publicos;AR0314171247;Títulos Públicos;BOND;Banco Central de la República Argentina
BPOA7;BPOA7;ARS;GO;7;primary;;True;Titulos Publicos;AR0684877571;Títulos Públicos;BOND;Banco Central de la República Argentina
BPOA8;BPOA8;ARS;GO;8;primary;;True;Titulos Publicos;AR0029227748;Títulos Públicos;BOND;Banco Central de la República Argentina
BPOB7;BPOB7;ARS;GO;7;primary;;True;Titulos Publicos;AR0772251226;Títulos Públicos;BOND;Banco Central de la República Argentina
BPOB8;BPOB8;ARS;GO;8;primary;;True;Titulos Publicos;AR0868821510;Títulos Públicos;BOND;Banco Central de la República Argentina
BPOC7;BPOC7;ARS;GO;7;primary;;True;Titulos Publicos;AR0763285209;Títulos Públicos;BOND;Banco Central de la República Argentina
BPOD7;BPOD7;ARS;GO;7;primary;;True;Titulos Publicos;AR0314171247;Títulos Públicos;BOND;Banco Central de la República Argentina
C27DC;C27D;cable;GO;C;primary;;True;Titulos Publicos;USP79171AF45;Títulos Públicos;BOND;Provincia de Córdoba
C27DD;C27D;MEP;GO;D;primary;;True;Titulos Publicos;USP79171AF45;Títulos Públicos;BOND;Provincia de Córdoba
C27DX;C27D;ARS;GO;X;especial;;False;Titulos Publicos;USP79171AF45;Títulos Públicos;BOND;Provincia de Córdoba
